FOIE01;10;Bloc de Foie Gras de canard 200gr (4pers);;;Bloc de 200g de Foie Gras de Canard (semi-conserve);;;;;29,40 €
COLI15;10;"Caisse ""Alsace Foie Gras"" - Coffret Bois";;;Coffret Bois comprenant 1 Pinot Gris Grand Cru Hengst 2011 AB(FR-BIO-10) + 1 bloc de  200g de Foie Gras de Canard (semi-conserve);;;;;53,20 €
CAIS02;10;Colis Etrenne;;;6 bouteilles dans un caisse bois;2 Pinot Blanc 2011 Cuvée Spéciale AB (FR-BIO-10) + 2 Riesling 2012 Cuvée du Roi Clovis AB (FR-BIO-10) + 2 Gewurztraminer 2012 Cuvée St Rémy AB (FR-BIO-10);;;;64,80 €
COFF02;10;Colis Vendanges Tardives;;;3 bouteilles dans un caisse bois;1 Muscat 2011 Vendange Tardive AB (FR-BIO-10) + 1 Pinot Gris 2010 Vendange Tardive + 1 Gewurztraminer 2011 Vendange tardive AB (FR-BIO-10);;;;88,20 €
14;10;Colis Prestige;;;3 bouteilles dans un caisse bois;1 Riesling 2010 Grand Cru Hengst (Médaille d'Or - Riesling du Monde 2014) +  1 Pinot Gris 2011 Grand Cru Steingrubler (AB) +  1 Gewurztraminer 2008 Grand Cru Hengst (Médaille d'Or - Gewurztraminer du Monde 2012);;;;54,80 €
CAIS01;10;Colis Prestige;;;6 bouteilles dans un caisse bois;2 Riesling 2010 Grand Cru Hengst (Médaille d'Or - Riesling du Monde 2014) +  2 Pinot Gris 2011 Grand Cru Steingrubler (AB) +  2 Gewurztraminer 2008 Grand Cru Hengst (Médaille d'Or - Gewurztraminer du Monde 2012);;;;100,40 €
COLI14;10;Colis Joyeuses Fêtes;;;12 bouteilles;2 Pinot Blanc 2011 Cuvée Spéciale AB (FR-BIO-10) + 2 Riesling 2012 Cuvée du Roi Clovis AB (FR-BIO-10) + 2 Pinot Gris 2012 Cuvée de la Reine Clotilde AB (FR-BIO-10) + 2 Gewurztraminer 2012 Cuvée St Rémy AB (FR-BIO-10) + 2 Pinot Noir 2013 Rouge d'Alsace AB (FR-BIO-10) + 2 Crémant d'Alsace Cuvée Traditionnelle AB (FR-BIO-10);;;;109,60 €
COLI12;10;Colis Gais Vendangeurs;;;15 bouteilles;2 Sylvaner 2012 AB (FR-BIO-10) + 2 Pinot Blanc 2012 AB (FR-BIO-10) + 2 Riesling 2012 AB (FR-BIO-10) +  2 Muscat 2013 Cuvée Spéciale AB (FR-BIO-10) + 2 Pinot Gris 2013 AB (FR-BIO-10) + 2 Gewurztraminer 2012 AB (FR-BIO-10) + 2 Pinot Noir 2013 AB (FR-BIO-10) + 1 Crémant d'Alsace Cuvée Traditionnelle AB (FR-BIO-10);;;;112,50 €
